2026-02-22 14:44:58,865 INFO cron.leakage_nightly leakage_nightly start tenants=['mover_a', 'mover_b']
2026-02-22 14:46:49,197 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Last minute move tomorrow: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:53,291 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Update my contact info: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:46:57,385 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Specialty items like art or wine collection: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:01,493 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Why did my final bill exceed the estimate?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:05,589 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Can I pack my own boxes?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:09,666 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Puerto Rico moves: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:13,748 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Storage fees if delivery is delayed: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:17,853 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Missing boxes from shipment: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:21,931 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Cross-country move 4 bedroom: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:25,975 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Dispute a charge: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:30,044 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Furniture assembly after delivery: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:34,090 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Fuel surcharge details: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:38,139 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Moving plants: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:42,179 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Midwest coverage including North Dakota: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:46,233 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Guaranteed pickup and delivery dates: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:50,300 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Replacement value coverage: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:54,388 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Moving in 2 weeks need quick quote: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:47:58,447 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Request a callback: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:02,555 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=I'm relocating my entire 5-bedroom house including: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:06,602 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=We're a startup moving our 20-person office from S: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:10,713 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=If I sign a binding estimate and then add 10 large: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:14,806 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=The movers delivered my belongings 5 days late. Du: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:18,890 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=stuff: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:22,978 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=ballpark: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:27,072 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=free estimate: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:31,182 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Do I need insurance beyond what you offer?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
2026-02-22 14:48:35,291 WARNING cron.leakage_nightly retrieve/ac error tenant=mover_a query=Appliances - do you disconnect and reconnect?: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieve/ac (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente"))
